Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
5,Cells,2036,D21,24,IFN+,13326576.31,9539921.274,,42408.9062,,497259.8303,652206.2529,460919.457,1989065.788,,,0,2714447.403,
5,Cells,8447,D21,24,IFN+,7594988.582,5790859.918,,25282.7441,,456888.2772,723130.7651,475455.8512,1895406.757,,,11514.42,2561871.728,
5,Cells,5397,T21,24,IFN+,298716.3808,5046406.058,,0,,424373.9965,645171.1493,3929860.716,1596268.914,,,5885.5854,2257183.102,
5,Cells,2767,T21,24,IFN+,7539734.204,24952762.79,,31616.2441,,506508.1622,1949891.477,8804529.521,1828513.836,,,0,4910148.328,
5,Cells,4616,T21,24,IFN+,3521320.342,8349688.649,,28559.5781,,570195.6877,871861.8383,5476370.225,1753697.132,,,7687.059,2181995.844,
5,Cells,5659,D21,24,IFN-,6209092.04,5963962.64,,0,,335957.039,500628.4077,262969.8534,1592341.538,,,19744.9,2354672.531,
5,Cells,2036,D21,24,IFN-,12270037.71,12623795.01,,55978.7031,,548124.0091,698119.5688,359879.683,2033699.062,,,20175.2475,2489686.667,
5,Cells,8447,D21,24,IFN-,7180468.688,4990687.664,,41277.3945,,419656.8151,719331.9202,322498.9612,1862676.081,,,8011.644,2943434.983,
5,Cells,5397,T21,24,IFN-,3993619.29,3936474.714,,20805.2891,,380489.9426,625162.4039,400453.9719,1637746.563,,,11130.35,2424336.859,
5,Cells,2767,T21,24,IFN-,14631999.52,9708687.044,,45433.7695,,447131.2617,593798.5722,449612.7216,1932321.016,,,0,2546995.139,
5,Cells,4616,T21,24,IFN-,12118239.2,8082449.625,,30754.3672,,570223.044,797280.9946,849105.7393,1879674.214,,,127939.3,2293787.489,
5,Supernatant,5659,D21,0,IFN-,238931376.8,209411.8,182063.1914,,,707736.4588,3495832.938,1200546.935,9396006.888,6131.5972,,16102.6953,232880.54,
5,Supernatant,2036,D21,0,IFN-,170381187.8,41130.49,298016.9375,,,435528.6381,3940229.081,866214.985,2625507.75,64847.9219,,10278.7285,396781.7851,
5,Supernatant,8447,D21,0,IFN-,261619563.4,31051.21,137353.4883,,,305343.6088,2903416.9,1370206.349,10011873.65,32952.9883,,7937.0625,238430.302,
5,Supernatant,5397,T21,0,IFN-,203249959.8,462640.628,165253.2578,,,445594.7897,3977579.753,1048935.007,8748242.51,60150.8438,,7394.3477,319895.5331,
5,Supernatant,2767,T21,0,IFN-,113542035.1,118728.5,219102.0273,,,608528.39,1673413,719893.5795,6253453.242,6074.416,,13536.2998,215225.6431,
5,Supernatant,4616,T21,0,IFN-,128164111.2,157268.07,175823.6914,,,916170.2625,2604763.428,822955.9229,5099898.162,111792.75,,8987.6006,258537.8458,
5,Supernatant,5659,D21,1,IFN+,333306798.6,65988.43,178163.1133,,,570577.3609,8582913.194,1685224.624,4887349.854,208768.0781,,21201.0723,802094.5611,
5,Supernatant,2036,D21,1,IFN+,229759125.4,70745.76,185348.7656,,,1108962.493,4669763.875,1352861.409,8687185.369,0,,0,387668.8476,
5,Supernatant,8447,D21,1,IFN+,174026520.9,54456.05,269380.3203,,,673230.9875,3636872.969,998883.0147,7755064,7602.8652,,0,322193.8202,
5,Supernatant,5397,T21,1,IFN+,257140813.7,110108,129539.4609,,,568565.9281,7700525.249,992610.1594,4160272.57,227941.125,,16061.0205,155832.8869,
5,Supernatant,2767,T21,1,IFN+,119469602.2,50043.81,159582.0039,,,320671.0975,2456431,712705.0909,5361723.15,29933.709,,0,196456.1589,
5,Supernatant,4616,T21,1,IFN+,134754378,51414.95,241449.3281,,,548925.1088,2280096.25,668876.3574,5524613.325,27922.6172,,0,290737.7797,
5,Supernatant,5659,D21,1,IFN-,149267489.6,35329.42,149430.2266,,,509225.0797,6367525.859,723561.552,2142881.992,281274.9688,,0,178734.2055,
5,Supernatant,2036,D21,1,IFN-,162177726.1,27489.92,208882.9551,,,425222.4803,5231061.742,1035920.135,2659234.569,119587.8828,,0,335187.523,
5,Supernatant,8447,D21,1,IFN-,172473277.6,70068.19,230780.3281,,,554640.275,3090781.944,798415.8578,6881436.598,14518.8467,,5128.1411,223039.3,
5,Supernatant,5397,T21,1,IFN-,136307871.1,91979.94,162307.959,,,856863.6994,4572477.156,681687.6761,1821222.911,292139.2812,,0,426574.1492,
5,Supernatant,2767,T21,1,IFN-,169781949,61863.48,78606.5235,,,471533.1181,3479157.656,761720.6164,6359521.332,53029.5781,,10162.4316,227476.8259,
5,Supernatant,4616,T21,1,IFN-,193894248.3,89946.53,124349.0235,,,754568.045,4033051.879,945355.0566,7688427.675,14254.6787,,0,327538.1411,
5,Supernatant,5659,D21,6,IFN+,132589142.3,65945.67,179339.9492,,,510641.9378,5084158.863,776519.4883,1825243.367,240742.6406,,7876.6191,280421.5698,
5,Supernatant,2036,D21,6,IFN+,157962393,56472.09,231127.289,,,902836.1162,7060161.843,859170.0558,2347348.25,191104.8281,,81094.9469,150716.86,
5,Supernatant,8447,D21,6,IFN+,149784259.3,60024.51,275335.6367,,,404764.8806,3202479.046,740101.1502,5661938.353,7408.6724,,6597.7637,152098.8572,
5,Supernatant,5397,T21,6,IFN+,132574848.8,256050.2,135904.9609,,,466167.2694,3069378.52,536374.0512,5417704.134,27311.4766,,0,309331.4029,
5,Supernatant,2767,T21,6,IFN+,154622656.5,181273,161506.5312,,,716050.2003,7166838.626,830885.5716,2178236.191,314737.125,,6579.623,284303.05,
5,Supernatant,4616,T21,6,IFN+,170138940.3,282134.366,132186.332,,,628230.7412,6220165.904,1078638.38,2376309.121,292757.7812,,515519.8799,215132.6459,
5,Supernatant,5659,D21,6,IFN-,165895876.9,48138.94,250546.3984,,,563118.8406,3456895.398,785205.5629,7416991.806,52406.293,,0,221470.3448,
5,Supernatant,2036,D21,6,IFN-,124633338.6,19626.74,149105.9023,,,850830.6538,6174280.734,529462.5242,2327518.278,174483.25,,3133.6711,213570.7275,
5,Supernatant,8447,D21,6,IFN-,312887754.7,70476.72,255468.2813,,,1058047.478,14382320.15,1766431.004,3994471.959,558142.75,,0,840793.18,
5,Supernatant,5397,T21,6,IFN-,277044558.6,107706,198994.7968,,,684578.9625,8441126.214,1201743.797,3778019.829,273752.875,,0,178183.5482,
5,Supernatant,2767,T21,6,IFN-,164825243.1,41079.4,167972.4024,,,593983.855,3607165.21,752095.5511,6328400.453,51356.4023,,11824.08,211222.363,
